PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 23, filenames: A:[23]2 vortices tapados mismo sentido clase 4.mp4 & B:[24]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.003242274281,-0.008100964129,1,1.346855879,0.008725707419,1.551710129,0,1.182536125,1.8761338,-68.18708038
0.1262357086,0.2424815297,0.009367927909,-0.008886649273,1,0.9563477039,0.01291242056,0.2360860109,0,0.6304973364,0.8019770384,-43.48975754
0.1262357086,0.2473251075,0.01092828158,-0.01084190141,1,0.03253737837,0.01539396495,-0.4440410733,0,0.2428864539,0.2709651589,-44.7726593
0.1262357086,0.2521686852,0.01070196461,-0.01234983746,1,-0.3861538172,0.01634168066,-0.4772183597,0,0.261690259,0.08154860139,-49.08886719
0.1262357086,0.257012248,0.01032543369,-0.01354832854,1,-0.5929833651,0.01703442819,-0.4409852624,0,0.3687094152,0.08621121943,-52.68830109
0.1262357086,0.2618558407,0.009615676478,-0.01490335446,1,-0.9903398752,0.01773615554,-0.08689608425,0,0.2306057215,-0.09763779491,-57.16980743
0.1262357086,0.2666994035,0.006645602174,-0.01349630021,1,-0.4005127549,0.01504374109,0.2404440641,0,0.1592122465,0.5602568388,-63.78428268
0.1262357086,0.2715429962,0.0084469188,-0.01645239256,1,-0.6274687052,0.01849409752,-0.1966791749,0,0.59981215,-0.1915256977,-62.82331467
0.1262357086,0.276386559,0.006511645392,-0.01352126151,1,-0.5063476562,0.01500753313,0.5826663375,0,-0.06766474247,-0.3234195709,-64.28520203
0.1262357086,0.2812301517,0.005666645244,-0.01206369512,1,-0.2891784608,0.01332830079,0.4660957456,0,-0.06538783759,0.278945148,-64.83927917
0.1262357086,0.2860737145,0.004794275854,-0.0126147829,1,-0.3072164059,0.01349510439,0.6087135077,0,0.07168840617,0.6528350115,-69.19059753
0.1262357086,0.2909172773,0.004525850527,-0.01227740012,1,-0.04331417754,0.01308502536,0.5725383759,0,-0.06917013228,0.3809305429,-69.76447296
0.1262357086,0.29576087,0.004249449354,-0.0116867153,1,0.1911430359,0.01243531797,0.2142124027,0,-0.09507220984,0.1067716032,-70.01804352
0.1262357086,0.3006044328,0.004991177004,-0.01175700221,1,0.3085086942,0.01277258527,-0.03378643841,0,-0.2238870859,-0.2670184672,-66.99741364
0.1262357086,0.3054480255,0.004659320693,-0.01055703778,1,0.4629266858,0.01153951138,-0.0189229846,0,-1.085148811,-0.5395155549,-66.18585968
0.1262357086,0.3102915883,0.001977395499,-0.009235471487,1,0.7278001308,0.009444788098,-0.04703553021,0,-1.578893661,0.3155564666,-77.91493225
0.1262357086,0.315135181,0.0005369833671,-0.01231328025,1,0.3055894375,0.01232498325,-0.7117190957,0,-0.4213626981,0.9801166654,-87.5029068
0.1262357086,0.3199787438,0.00141663861,-0.01743000932,1,-1.093815327,0.0174874831,-1.520989418,0,1.025904655,0.4151729345,-85.35345459
0.1262357086,0.3248223364,0.0002080532868,-0.02169123292,1,-2.069199562,0.02169222943,-0.5896394849,0,1.707604408,-1.124035358,-89.45045471
0.1262357086,0.3296658993,-0.0003347751626,-0.01484162174,1,-0.4786761999,0.01484539732,-0.5847790837,0,0.02274934947,-2.347288132,-91.29216766
0.1262357086,0.3345094621,-0.00200025714,-0.01315440983,1,-0.9618241787,0.01330562029,-1.567289352,0,-0.3795088828,-2.052787542,-98.64614105
0.1262357086,0.3393530548,-0.006831625942,-0.01249007415,1,-1.79470849,0.01423632912,-1.529934645,0,-0.8393546939,-0.5150167942,-118.6770782
0.1262357086,0.3441966176,-0.01475854684,-0.0180702433,1,-5.204572201,0.02333127521,-0.9436942339,0,-0.1889452934,3.233050346,-129.2396088
0.1262357086,0.3490402102,-0.03295554593,-0.03272046149,1,-10.86092377,0.04644024745,2.708259344,0,3.347079515,8.757577896,-135.2050934
0.1310792714,0.237637952,0.01154376287,-0.008498910815,1,0.03208371252,0.01433492079,0.7734891176,0,0.1075349376,1.259442687,-36.361763
0.1310792714,0.2424815297,0.01188188978,-0.009675787762,1,0.01289235801,0.01532319095,0.08413796127,0,-0.2265016735,0.4626951218,-39.15698242
0.1310792714,0.2473251075,0.01050912961,-0.01033248194,1,-0.3035691082,0.01473777462,-0.01974324882,5.783119202,-0.1378712952,0.2084172219,-44.51438904
0.1310792714,0.2521686852,0.009743738919,-0.01078090072,1,-0.2875486612,0.01453163009,0.05308365822,5.857845783,0.07223620266,0.2361793816,-47.89283752
0.1310792714,0.257012248,0.009466248564,-0.01121931896,1,-0.2316205204,0.01467933878,-0.02574920654,4.300632,0.1129142344,0.2148973346,-49.84415054
0.1310792714,0.2618558407,0.009168775752,-0.01194649097,1,-0.2843077481,0.01505938638,-0.0565947406,5.55630064,0.1023092568,0.1336467862,-52.49423218
0.1310792714,0.2666994035,0.008584724739,-0.01214076858,1,-0.1548069566,0.01486928854,0.05173918605,0,-0.1883286983,0.3683843613,-54.73591232
0.1310792714,0.2715429962,0.007506771479,-0.01348018646,1,-0.4324283004,0.01542942133,-0.1188778952,8.438114166,0.1340454817,-0.05320354551,-60.88768005
0.1310792714,0.276386559,0.007139484398,-0.01245886739,1,-0.03480136022,0.01435951237,0.2543481588,0,0.0274101235,-0.1499941349,-60.1853714
0.1310792714,0.2812301517,0.007470971439,-0.01152172312,1,0.1222765297,0.01373191644,0.1717774272,0,0.02430650592,0.01451573521,-57.03962326
0.1310792714,0.2860737145,0.007849470712,-0.01169715822,1,-0.05512620509,0.01408679131,0.09280629456,0,-0.07618780434,0.2617510557,-56.13610077
0.1310792714,0.2909172773,0.006834943779,-0.01234001759,1,-0.2357681394,0.01410647016,0.09135563672,0,-0.3469970226,0.2323067933,-61.01861572
0.1310792714,0.29576087,0.005026802421,-0.01237986609,1,-0.1974995136,0.01336150616,0.1162955463,0,-0.3335646391,0.2621238828,-67.90055847
0.1310792714,0.3006044328,0.004262693226,-0.01304634847,1,-0.05530559272,0.01372507773,-0.1703297943,0,-0.2997827232,0.2273663431,-71.9059906
0.1310792714,0.3054480255,0.003306904575,-0.01430613827,1,0.1590305269,0.01468336489,-0.1323276609,0,-0.4965906441,0.2342260629,-76.98451996
0.1310792714,0.3102915883,0.002627694514,-0.01482177991,1,0.4137737751,0.01505290437,0.3768965304,0,-0.8514504433,0.3289280832,-79.94671631
0.1310792714,0.315135181,0.001186983543,-0.01407379936,1,0.003984540701,0.01412376575,0.5664885044,0,-0.8069244027,0.04512411356,-85.17908478
0.1310792714,0.3199787438,-0.00126140716,-0.01229651086,1,-0.7620345354,0.01236104034,0.05315151066,15.00376797,-0.2969091237,-0.2625572383,-95.85704803
