PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 20, filenames: A:[20]2 vortices tapados mismo sentido clase 4.mp4 & B:[21]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.01146791968,-0.01017928217,1,-1.482682228,0.01533398032,0.670006156,0,0.6898696423,-0.8495768309,-41.5932579
0.1262357086,0.2424815297,0.009547894821,-0.00649917312,1,-0.4508779049,0.01154995803,0.6276502609,0,-0.05118660629,-0.06129041314,-34.24279785
0.1262357086,0.2473251075,0.009036131203,-0.006842344534,1,-0.02074093558,0.01133443136,0.1533276141,0,-0.02563658915,0.5112156868,-37.13375473
0.1262357086,0.2521686852,0.009323261678,-0.008232631721,1,-0.05681601912,0.0124378223,-0.01086717844,0,0.2128431201,0.6158846021,-41.44516754
0.1262357086,0.257012248,0.009791859426,-0.00987806078,1,-0.3835320473,0.01390886772,-0.0981361866,0,0.4911724329,0.5346167088,-45.251091
0.1262357086,0.2618558407,0.0098446263,-0.01129741967,1,-0.575653255,0.01498493832,0.01312350482,0,0.5311101079,0.1887017787,-48.93094635
0.1262357086,0.2666994035,0.009576111101,-0.01072848774,1,-0.4329837859,0.01438062452,0.06366746873,0,0.04147136211,-0.03691279143,-48.24830627
0.1262357086,0.2715429962,0.007948305458,-0.01081025135,1,-0.4151170254,0.01341779064,0.1698344499,0,-0.1963803023,0.1837370545,-53.67458344
0.1262357086,0.276386559,0.006614276208,-0.01079582609,1,-0.2428454757,0.01266090479,0.3042808771,0,-0.2228394747,0.1767125726,-58.50546265
0.1262357086,0.2812301517,0.005692724138,-0.01019236445,1,-0.1510882527,0.01167439111,0.3692395985,0,-0.2725422084,0.3382179439,-60.81540298
0.1262357086,0.2860737145,0.004562389106,-0.01064557023,1,-0.1840605736,0.01158203557,0.429384023,0,-0.02479927987,0.7521572113,-66.80140686
0.1262357086,0.2909172773,0.004681098275,-0.01175573654,1,-0.07882265747,0.01265345886,0.3159140646,0,0.2170477659,0.6403957605,-68.28770447
0.1262357086,0.29576087,0.005231893156,-0.01221722271,1,-0.07957205176,0.01329034381,0.07293815166,0,0.04633551463,0.2021815777,-66.81749725
0.1262357086,0.3006044328,0.004520114511,-0.01238173712,1,-0.04824818671,0.01318100281,0.1284817755,0,-0.1912018061,-0.02156518027,-69.94473267
0.1262357086,0.3054480255,0.004072098527,-0.01149045862,1,0.2849860787,0.01219067723,0.119229719,0,-0.6912784576,-0.09451514482,-70.48619843
