PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 38, filenames: A:[38]2 vortices tapados mismo sentido clase 4.mp4 & B:[39]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.01010943111,1.317747683e-05,1,0.9103932977,0.01010943949,-1.447449923,0,-0.6565784812,-0.1896042228,0.07468406111
0.1262357086,0.2424815297,0.01072411705,-0.003033059184,1,0.04846632481,0.01114478055,-1.275266647,0,-0.02545350045,-0.1522972584,-15.79228306
0.1262357086,0.2473251075,0.01022089552,-0.005426012445,1,-0.5526279211,0.0115718767,-0.8353205919,0,0.2041838467,-0.07464021444,-27.96269226
0.1262357086,0.2521686852,0.009036401287,-0.006717473734,1,-0.7135059834,0.01125970669,-0.3952496648,0,0.2150460482,0.1061775088,-36.6263504
0.1262357086,0.257012248,0.007806569804,-0.007854710333,1,-0.5990952253,0.01107424963,-0.005409006029,0,0.2671233416,0.08102810383,-45.17611694
0.1262357086,0.2618558407,0.007428469602,-0.007136138622,1,-0.398083806,0.01030080765,0.193743512,0,0.200190708,0.08327899873,-43.85015106
0.1262357086,0.2666994035,0.006848059129,-0.007319666911,1,-0.3930405974,0.01002364419,0.146258533,0,0.0673379004,0.2366855443,-46.90652466
0.1262357086,0.2715429962,0.005850903224,-0.007574128918,1,-0.4984949231,0.009570814669,0.07397029549,0,0.0565751791,0.07368976623,-52.31444168
0.1262357086,0.276386559,0.004707586486,-0.007318308111,1,-0.4033578932,0.008701666258,0.08032538742,0,0.07719659805,-0.02736846171,-57.24837875
0.1262357086,0.2812301517,0.004271115642,-0.007052505389,1,-0.09903077036,0.008245014586,-0.0465628691,0,0.1173668727,0.02305677161,-58.8001976
0.1262357086,0.2860737145,0.004796398804,-0.007655516267,1,-0.03478003293,0.009033956565,-0.3030090332,0,0.2040680945,0.08837749809,-57.93168259
0.1262357086,0.2909172773,0.005091072991,-0.008948210627,1,-0.1466983557,0.01029512007,-0.2621744275,0,0.162463665,0.0622555986,-60.36234283
0.1262357086,0.29576087,0.004872759338,-0.009226918221,1,-0.1808106005,0.01043454837,-0.03583226353,0,-0.1069018245,0.07076847553,-62.16134644
0.1262357086,0.3006044328,0.003697515465,-0.009464539587,1,-0.06787118316,0.0101611577,0.1327459067,0,-0.4284128547,0.1875864416,-68.66088867
0.1262357086,0.3054480255,0.002468968974,-0.009492542595,1,0.2413121611,0.009808372706,0.1057704985,0,-0.6605786681,0.3449228406,-75.4206543
0.1262357086,0.3102915883,0.00166676566,-0.01062289253,1,0.339884311,0.01075285766,-0.1110630929,0,-0.709785223,0.7464138269,-81.08281708
0.1262357086,0.315135181,0.0006773252971,-0.0136457989,1,-0.1567801535,0.0136625981,-0.1949726045,0,-0.3655437231,0.697062254,-87.15838623
0.1262357086,0.3199787438,-0.0008631505771,-0.01494353265,1,-0.4596450031,0.01496843994,-0.3113236725,0,-0.3168232739,0.6487076879,-93.30577087
0.1262357086,0.3248223364,-0.003083559219,-0.01829578541,1,-1.287577868,0.01855381578,0.0152284652,0,0.1950629354,0.3875492215,-99.56668091
0.1262357086,0.3296658993,-0.006154831965,-0.01674689725,1,-1.209805727,0.01784209907,0.7402684093,0,-0.04541784525,-0.1223526001,-110.1794281
0.1262357086,0.3345094621,-0.009163313545,-0.01411762647,1,-0.7527567744,0.01683073677,0.6508843899,0,-0.6650107503,0.04808959365,-122.986351
0.1262357086,0.3393530548,-0.01302189939,-0.01382721402,1,-0.3934587836,0.01899372786,1.041572213,0,0.110216856,0.2914729416,-133.2819824
0.1262357086,0.3441966176,-0.01053521782,-0.0104844626,1,0.9712259769,0.01486320142,0.7992705703,0,1.1528368,-0.5351040959,-135.1383514
0.1262357086,0.3490402102,-0.002733836183,-0.007364066318,1,1.42188096,0.007855147123,-0.4198919535,0,1.79943943,-1.708355546,-110.3669357
0.1310792714,0.237637952,0.006144843996,-0.003781685606,1,0.6760116816,0.007215279154,-0.2603855729,0,-0.2127073407,-0.4955872297,-31.60914612
0.1310792714,0.2424815297,0.007266869303,-0.003212076845,1,0.201508075,0.007945112884,-0.2675493956,0,0.1850502491,-0.3064680696,-23.84622383
0.1310792714,0.2473251075,0.008017169312,-0.003593179863,1,-0.08040770143,0.008785553277,-0.2928625345,0,0.3012077808,-0.03341653943,-24.14123535
0.1310792714,0.2521686852,0.008336331695,-0.004468723666,1,-0.2119334787,0.009458536282,-0.2405440062,0,0.2062627524,0.2061798722,-28.19371033
0.1310792714,0.257012248,0.007989702746,-0.005756918341,1,-0.2351497412,0.009847713634,-0.05659339577,3.477456093,0.1862243116,0.1949819624,-35.77434158
0.1310792714,0.2618558407,0.008099357598,-0.005687248427,1,-0.1289284378,0.009896685369,-0.01061802357,2.546290159,0.08469733596,0.0818368718,-35.07596207
