PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 73, filenames: A:[73]2 vortices tapados mismo sentido clase 4.mp4 & B:[74]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.005435433239,-0.006781504024,1,0.3005746603,0.00869095698,0.7944108248,0,0.6416992545,0.865639925,-51.28752899
0.1262357086,0.2424815297,0.007717421744,-0.006954005919,1,0.2141727805,0.01038830075,0.513076961,0,0.4583226442,0.509788096,-42.02134705
0.1262357086,0.2473251075,0.00869271718,-0.006765574217,1,0.1279739588,0.01101527736,0.1877393872,0,0.238295272,0.3830894232,-37.89375687
0.1262357086,0.2521686852,0.009491475299,-0.007900198922,1,0.007433846593,0.0123491399,-0.2570707798,0,0.2519407868,0.1739002466,-39.77219391
0.1262357086,0.257012248,0.009949016385,-0.008853012696,1,-0.1737871319,0.01331761107,-0.2325129956,0,0.2308240682,-0.007894903421,-41.66390228
0.1262357086,0.2618558407,0.009767738171,-0.008988154121,1,-0.2854560614,0.01327386964,-0.1011310294,0,0.04332280159,-0.07733485848,-42.61988449
0.1262357086,0.2666994035,0.00877622515,-0.008968271315,1,-0.2573810816,0.01254798844,0.0846690461,0,-0.1042316183,-0.05832353979,-45.62007904
0.1262357086,0.2715429962,0.00801623892,-0.008295558393,1,-0.2312458307,0.01153587364,0.2587536573,0,-0.05118323863,0.004127204418,-45.98102188
0.1262357086,0.276386559,0.00740825804,-0.007734968327,1,-0.09140498936,0.0107103698,0.2498208284,0,-0.100049153,0.2137525976,-46.23594666
0.1262357086,0.2812301517,0.007088915911,-0.008120859042,1,-0.07726056874,0.0107796602,0.20372805,0,0.05180251598,0.3785993159,-48.88142014
0.1262357086,0.2860737145,0.007284949999,-0.008581970818,1,-0.1069076583,0.01125703007,0.0582209006,0,0.140022397,0.2780409455,-49.67317581
0.1262357086,0.2909172773,0.007249309216,-0.009185571223,1,-0.03349790722,0.01170159038,-0.2086709291,0,0.09610452503,0.1226686686,-51.71928406
0.1262357086,0.29576087,0.007588190027,-0.01018683985,1,-0.03372334689,0.01270245388,-0.3019793034,0,0.154008925,0.05588509887,-53.31753159
0.1262357086,0.3006044328,0.007831921801,-0.01091891527,1,-0.1357715577,0.01343732513,-0.1467810571,0,0.01514208317,0.03378878161,-54.34887695
0.1262357086,0.3054480255,0.007003911771,-0.01106144395,1,-0.1445854306,0.01309237629,-0.1140953004,0,-0.273509115,0.07156400383,-57.65872955
0.1262357086,0.3102915883,0.005806848407,-0.01181817055,1,-0.02811597288,0.01316771191,-0.1377565563,0,-0.4775108099,0.1803743541,-63.83284378
0.1262357086,0.315135181,0.004554869141,-0.01260233577,1,-0.08805051446,0.01340021193,-0.09276095778,0,-0.4837787449,0.187900573,-70.12860107
0.1262357086,0.3199787438,0.003037148854,-0.01317757647,1,-0.2361184955,0.01352304686,-0.3625108004,0,-0.6017298698,0.144593358,-77.02119446
0.1262357086,0.3248223364,0.0004966856213,-0.01505853422,1,-0.6802297235,0.01506672334,-0.6571111679,0,-0.5799019337,0.2020986229,-88.11086273
0.1262357086,0.3296658993,-0.003066396806,-0.01733922586,1,-1.31132865,0.01760828122,-0.6080105901,0,-0.4707306921,0.2166419178,-100.0289078
0.1262357086,0.3345094621,-0.008134830743,-0.01905279048,1,-1.770046473,0.02071676403,0.2727873325,0,0.1428847909,-0.06363596022,-113.1206741
0.1262357086,0.3393530548,-0.01094768103,-0.01570973359,1,-0.6666693091,0.01914804056,1.493743181,0,0.4824184775,-1.239444971,-124.871582
0.1262357086,0.3441966176,-0.009027264081,-0.005814380944,1,1.077928305,0.01073771529,2.261454105,0,-0.6256736517,-2.419033527,-147.2147827
0.1262357086,0.3490402102,-0.008757150732,0.006960573141,1,2.286698103,0.01118647773,3.422621727,0,-2.175163984,-1.852369308,141.520752
0.1310792714,0.237637952,0.009455713443,-0.0059553748,1,0.08005575836,0.01117483806,0.3666244149,0,0.2250343412,0.5348279476,-32.20344925
0.1310792714,0.2424815297,0.01019457728,-0.006362728309,1,-0.0004271045327,0.01201722585,0.1878775805,0,0.1283132136,0.2999900281,-31.96946907
0.1310792714,0.2473251075,0.01007513981,-0.006498400122,1,-0.1271997392,0.01198906358,0.05300395936,3.858431816,-0.05954710394,0.2481754422,-32.82175446
0.1310792714,0.2521686852,0.00929005444,-0.007308056578,1,-0.1655979902,0.01182001643,-0.1330108792,3.76534915,0.01935487986,0.1508154422,-38.19049454
0.1310792714,0.257012248,0.009366801009,-0.007873132825,1,-0.1330006421,0.0122361416,-0.1443866938,0,0.1423900425,0.03809555992,-40.04825592
0.1310792714,0.2618558407,0.009335532784,-0.008191923611,1,-0.141800493,0.01242013648,-0.09863846004,3.751190662,0.03304352984,0.05088818073,-41.26692963
