PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 9, filenames: A:[9]2 vortices tapados mismo sentido clase 4.mp4 & B:[10]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.008816688322,0.0008039446548,1,1.10495162,0.008853266016,-1.558849335,0,-2.293730021,1.313498259,5.210074902
0.1262357086,0.2424815297,0.005937718321,-0.006152275018,1,-0.1021440625,0.008550262079,-0.7416211367,0,-0.5576636195,1.459993243,-46.01669693
0.1262357086,0.2473251075,0.005620858632,-0.009859745391,1,-0.465944171,0.01134938933,-0.01903119683,0,0.6521505117,0.769628644,-60.31333542
0.1262357086,0.2521686852,0.006839623209,-0.009972210042,1,-0.001621156931,0.01209237054,0.3829678893,0,0.5315630436,0.6080831885,-55.55500793
0.1262357086,0.257012248,0.008187669329,-0.01095010713,1,-0.2072818428,0.01367270201,0.1651067287,0,0.5104315877,0.2910664082,-53.21361542
0.1262357086,0.2618558407,0.008307952434,-0.01058230549,1,-0.3021930456,0.01345389336,0.222017616,0,0.1999989748,-0.08633604646,-51.86526489
0.1262357086,0.2666994035,0.007692684419,-0.009456572123,1,-0.3287784457,0.01219033077,0.320684433,0,-0.2150076181,-0.104961507,-50.87251282
0.1262357086,0.2715429962,0.00567408232,-0.008520656265,1,-0.2548336983,0.01023703068,0.4556636214,0,-0.4214578271,0.1761638522,-56.33952713
0.1262357086,0.276386559,0.004417013843,-0.008102793247,1,-0.1117224917,0.009228503332,0.6255568266,0,-0.2744344473,0.341204226,-61.40421295
0.1262357086,0.2812301517,0.00380370114,-0.007143372204,1,0.04255725443,0.008092953824,0.7705296278,0,-0.1432685554,0.4513428211,-61.96559906
0.1262357086,0.2860737145,0.003929210827,-0.006556787062,1,0.0481695272,0.007643962279,0.504463017,0,0.05619839206,0.3858782649,-59.06748962
0.1262357086,0.2909172773,0.00430921372,-0.006568999495,1,0.02429473959,0.007856275886,0.2601815462,0,-0.02810438164,0.4051898718,-56.73542786
0.1262357086,0.29576087,0.003910758533,-0.00725914631,1,-0.2343443632,0.008245558478,0.2590869069,0,0.08152169734,0.6898252964,-61.6870842
0.1262357086,0.3006044328,0.00356900529,-0.008655314334,1,-0.4410620928,0.009362279437,0.3193526566,0,0.2929143906,0.8411314487,-67.59127808
0.1262357086,0.3054480255,0.003193193581,-0.009786422364,1,-0.5586790442,0.01029419992,0.4575811028,0,0.5101699233,0.8376582265,-71.92910767
0.1262357086,0.3102915883,0.003334047506,-0.01049624756,1,-0.1962844878,0.01101304125,0.5562643409,0,0.5487777591,0.6368721128,-72.37797546
0.1262357086,0.315135181,0.004900522064,-0.01017685235,1,0.4721050858,0.01129528414,0.04113845527,0,0.1386403888,0.3284655809,-64.2875061
0.1262357086,0.3199787438,0.006292240694,-0.01188793872,1,0.02725946158,0.01345047913,-0.7538926005,0,-0.1857038438,0.01522213221,-62.10789871
0.1262357086,0.3248223364,0.004133084323,-0.01390211936,1,-0.9474657178,0.01450349297,-0.7040823102,0,-0.7635294795,0.2194766551,-73.44284821
0.1262357086,0.3296658993,-0.001995097846,-0.01636126824,1,-1.577483177,0.01648246124,0.5636492372,0,-0.6196903586,0.7991141677,-96.95233154
0.1262357086,0.3345094621,-0.006509063765,-0.0150426086,1,-1.036571026,0.01639048383,1.171913743,0,-0.5426340103,1.176552653,-113.3985443
0.1262357086,0.3393530548,-0.009644100443,-0.01638373733,1,0.001192569733,0.01901145838,1.290132761,0,1.494431973,0.9348661304,-120.4827042
0.1262357086,0.3441966176,0.0007351101376,-0.01332184672,1,3.654333591,0.01334211323,-0.9130775928,0,3.948005676,-2.997088671,-86.84157562
0.1262357086,0.3490402102,0.02717842162,-0.006289667916,1,6.685185432,0.0278967116,-6.67459774,0,4.233697891,-9.57830143,-13.03008842
0.1310792714,0.237637952,0.008222501725,-0.007426919416,1,0.702487886,0.011080103,-0.03111040592,0,-0.9275459647,-0.1019157469,-42.08971405
0.1310792714,0.2424815297,0.007677458692,-0.007255443837,1,-0.03134134784,0.01056337263,0.3474597633,0,-0.1304936111,0.2906928957,-43.38120651
0.1310792714,0.2473251075,0.007438641507,-0.007151964586,1,-0.1478411108,0.01031910814,0.2411568314,0,0.4703865051,0.5354663134,-43.87439728
