PIVlab, ASCII chart output - 06-Mar-2024
FRAME: 183, filenames: MEAN of frames 1:182 & MEAN of frames 1:182, conversion factor xy (px -> m): 0.00014791, conversion factor uv (px/frame -> m/s): 0.0044378
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.02307407372,0.06167877093,NaN,NaN,0
0.02307407372,0.06404533982,NaN,NaN,0
0.02307407372,0.06641191244,NaN,NaN,0
0.02307407372,0.06877848506,NaN,NaN,0
0.02307407372,0.07114505768,NaN,NaN,0
0.02307407372,0.0735116303,NaN,NaN,0
0.02307407372,0.07587820292,NaN,NaN,0
0.02307407372,0.07824477553,NaN,NaN,0
0.02307407372,0.08061134815,NaN,NaN,0
0.02307407372,0.08297791332,NaN,NaN,0
0.02307407372,0.08534448594,NaN,NaN,0
0.02307407372,0.08771105856,NaN,NaN,0
0.02307407372,0.09007763118,NaN,NaN,0
0.02307407372,0.09244420379,NaN,NaN,0
0.02307407372,0.09481077641,NaN,NaN,0
0.02307407372,0.09717734903,NaN,NaN,0
0.02307407372,0.0995439142,NaN,NaN,0
0.02307407372,0.1019104868,NaN,NaN,0
0.02307407372,0.1042770594,NaN,NaN,0
0.02307407372,0.1066436321,NaN,NaN,0
0.02307407372,0.1090102047,NaN,NaN,0
0.02307407372,0.1113767773,NaN,NaN,0
0.02307407372,0.1137433499,NaN,NaN,0
0.02307407372,0.1161099151,NaN,NaN,0
0.02307407372,0.1184764877,NaN,NaN,0
0.02307407372,0.1208430603,NaN,NaN,0
0.02307407372,0.1232096329,NaN,NaN,0
0.02307407372,0.1255761981,NaN,NaN,0
0.02307407372,0.1279427707,NaN,NaN,0
0.02307407372,0.1303093433,NaN,NaN,0
0.02307407372,0.132675916,NaN,NaN,0
0.02307407372,0.1350424886,NaN,NaN,0
0.02307407372,0.1374090612,NaN,NaN,0
0.02307407372,0.1397756338,NaN,NaN,0
0.02307407372,0.1421422064,NaN,NaN,0
0.02307407372,0.144508779,NaN,NaN,0
0.02307407372,0.1468753517,NaN,NaN,0
0.02307407372,0.1492419243,NaN,NaN,0
0.02307407372,0.1516084969,NaN,NaN,0
0.02307407372,0.1539750695,NaN,NaN,0
0.02307407372,0.1563416421,NaN,NaN,0
0.02307407372,0.1587081999,NaN,NaN,0
0.02307407372,0.1610747725,NaN,NaN,0
0.02307407372,0.1634413451,NaN,NaN,0
0.02307407372,0.1658079177,NaN,NaN,0
0.02307407372,0.1681744903,NaN,NaN,0
0.02307407372,0.170541063,NaN,NaN,0
0.02307407372,0.1729076356,NaN,NaN,0
0.02307407372,0.1752742082,NaN,NaN,0
0.02544064447,0.06167877093,NaN,NaN,0
0.02544064447,0.06404533982,NaN,NaN,0
0.02544064447,0.06641191244,NaN,NaN,0
0.02544064447,0.06877848506,NaN,NaN,0
0.02544064447,0.07114505768,NaN,NaN,0
0.02544064447,0.0735116303,NaN,NaN,0
0.02544064447,0.07587820292,NaN,NaN,0
0.02544064447,0.07824477553,NaN,NaN,0
0.02544064447,0.08061134815,NaN,NaN,0
0.02544064447,0.08297791332,NaN,NaN,0
0.02544064447,0.08534448594,NaN,NaN,0
0.02544064447,0.08771105856,NaN,NaN,0
0.02544064447,0.09007763118,NaN,NaN,0
0.02544064447,0.09244420379,NaN,NaN,0
0.02544064447,0.09481077641,NaN,NaN,0
0.02544064447,0.09717734903,NaN,NaN,0
0.02544064447,0.0995439142,NaN,NaN,0
0.02544064447,0.1019104868,NaN,NaN,0
0.02544064447,0.1042770594,NaN,NaN,0
0.02544064447,0.1066436321,NaN,NaN,0
0.02544064447,0.1090102047,NaN,NaN,0
0.02544064447,0.1113767773,NaN,NaN,0
0.02544064447,0.1137433499,NaN,NaN,0
0.02544064447,0.1161099151,NaN,NaN,0
0.02544064447,0.1184764877,NaN,NaN,0
0.02544064447,0.1208430603,NaN,NaN,0
0.02544064447,0.1232096329,NaN,NaN,0
0.02544064447,0.1255761981,NaN,NaN,0
0.02544064447,0.1279427707,NaN,NaN,0
