x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.1424586773,0.2239092588,0.01901253499,-0.009278298356,1
0.1424586773,0.2290198803,0.01464222372,-0.009684308432,1
0.1424586773,0.2341305017,0.009529615752,-0.007999555208,1
0.1424586773,0.2392411381,0.005139714107,-0.008779656142,1
0.1424586773,0.2443517596,-0.0004300631408,-0.008310305886,1
0.1424586773,0.249462381,-0.003445167094,-0.0105746733,1
0.1424586773,0.2545730174,-0.006004706025,-0.01357102115,1
0.1424586773,0.2596836388,-0.009358153678,-0.01404162217,1
0.1424586773,0.2647942603,-0.006494967267,-0.009504673071,1
0.1424586773,0.2699048817,-0.006977466866,-0.007097238209,1
0.1424586773,0.2750155032,-0.008400702849,-0.007042549085,1
0.1424586773,0.2801261246,-0.00788714923,-0.005422364455,1
0.1424586773,0.2852367461,-0.00716041401,-0.003143079812,1
0.1424586773,0.2903473675,-0.00611187797,-0.00216294243,1
0.1424586773,0.2954580188,-0.006946666166,-0.001796080032,1
0.1424586773,0.3005686402,-0.00439921068,-0.001085536787,1
0.1424586773,0.3056792617,-0.001401699963,-0.0002902805572,1
0.1424586773,0.3107898831,0.0007317237905,-0.001905051642,1
0.1424586773,0.3159005046,0.002785724588,-0.001661216258,1
0.1424586773,0.321011126,0.003567641368,-0.001672259648,1
0.1424586773,0.3261217475,-0.0008900710382,0.001113125007,1
0.1475692987,0.2239092588,0.01693543047,-0.009104495868,1
0.1475692987,0.2290198803,0.01652228646,-0.01036882401,1
0.1475692987,0.2341305017,0.01445071492,-0.01300526131,1
0.1475692987,0.2392411381,0.01182678621,-0.01710292511,1
0.1475692987,0.2443517596,0.007238891441,-0.0202466473,1
0.1475692987,0.249462381,0.001481697196,-0.02134104073,1
0.1475692987,0.2545730174,-0.003310202155,-0.02046155743,1
0.1475692987,0.2596836388,-0.006370643619,-0.01784882508,1
0.1475692987,0.2647942603,-0.008272735402,-0.01385983173,1
0.1475692987,0.2699048817,-0.008346023969,-0.009462095797,1
