PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 146, filenames: MEAN of frames 1:145 & MEAN of frames 1:145, conversion factor xy (px -> m): 0.00036954, conversion factor uv (px/frame -> m/s): 0.011086
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.1965938807,0.2915649712,-0.01285475213,0.01845602319,1
0.1965938807,0.2974775732,-0.0104983449,0.02389627136,1
0.1965938807,0.3033901751,-0.005646828562,0.0258592926,1
0.1965938807,0.3093027771,-0.0003384611337,0.02572294138,1
0.1965938807,0.315215379,0.003975654487,0.02734163217,1
0.1965938807,0.3211279809,0.005018432625,0.02284529805,1
0.1965938807,0.3270405531,0.00511498563,0.02237807401,1
0.1965938807,0.332953155,0.004793682601,0.02434564382,1
0.1965938807,0.338865757,0.00441132579,0.02650757879,1
0.1965938807,0.3447783589,0.003788904985,0.02869207785,1
0.1965938807,0.3506909609,0.003626577556,0.03268428147,1
0.1965938807,0.3566035628,0.005615220405,0.03649838269,1
0.1965938807,0.3625161648,0.01082779653,0.03623437136,1
0.1965938807,0.3684287369,0.01808538847,0.03770948946,1
0.1965938807,0.3743413389,0.02176703699,0.03120937385,1
0.1965938807,0.3802539408,0.02107710019,0.02234032564,1
0.1965938807,0.3861665428,0.0208586175,0.01527161431,1
0.1965938807,0.3920791447,0.02231734619,0.009756339714,1
0.1965938807,0.3979917467,0.02711210027,0.01081343181,1
0.2025064826,0.2915649712,-0.01026510168,0.01519981306,1
0.2025064826,0.2974775732,-0.01137792412,0.02271707356,1
0.2025064826,0.3033901751,-0.004176412709,0.02226252668,1
0.2025064826,0.3093027771,0.002768950537,0.0233341381,1
0.2025064826,0.315215379,0.009823926724,0.02620070241,1
0.2025064826,0.3211279809,0.007898821495,0.01683137007,1
0.2025064826,0.3270405531,0.00627886923,0.01601238362,1
0.2025064826,0.332953155,0.003915638663,0.01908545196,1
0.2025064826,0.338865757,0.001285385806,0.02231732197,1
0.2025064826,0.3447783589,-0.0008724258514,0.02545811422,1
0.2025064826,0.3506909609,-0.001318147872,0.03021579608,1
0.2025064826,0.3566035628,0.0009940216551,0.03549258038,1
0.2025064826,0.3625161648,0.008342876099,0.03842861578,1
0.2025064826,0.3684287369,0.01979406923,0.03922691941,1
0.2025064826,0.3743413389,0.02424968965,0.02884993143,1
0.2025064826,0.3802539408,0.0251118876,0.01983067766,1
0.2025064826,0.3861665428,0.0297543034,0.01532641705,1
0.2025064826,0.3920791447,0.02873397805,0.01089523081,1
0.2025064826,0.3979917467,0.0218868833,0.006899072789,1
0.2084190696,0.2915649712,-0.01398018375,0.01268543024,1
0.2084190696,0.2974775732,-0.02070716955,0.0214827396,1
0.2084190696,0.3033901751,-0.004979331978,0.01152892224,1
0.2084190696,0.3093027771,0.002220765688,0.009849446826,1
0.2084190696,0.315215379,0.01585913077,0.01951467805,1
0.2084190696,0.3211279809,0.01575739123,0.01722923666,1
0.2084190696,0.3270405531,0.008953004144,0.01534243859,1
0.2084190696,0.332953155,0.003992461599,0.01645827107,1
0.2084190696,0.338865757,-0.000972717593,0.01945061982,1
0.2084190696,0.3447783589,-0.005539710633,0.02297873423,1
0.2084190696,0.3506909609,-0.007570262998,0.02726041712,1
0.2084190696,0.3566035628,-0.006923115347,0.03472233564,1
0.2084190696,0.3625161648,0.0008552379441,0.04006568715,1
0.2084190696,0.3684287369,0.01766216755,0.03701395914,1
0.2084190696,0.3743413389,0.03067304008,0.02733753808,1
0.2084190696,0.3802539408,0.03447792307,0.01858535223,1
0.2084190696,0.3861665428,0.03702965379,0.01255942881,1
0.2084190696,0.3920791447,0.02532788739,0.007690438535,1
0.2084190696,0.3979917467,0.01779996604,0.004076506011,1
0.2143316716,0.2915649712,-0.02452264726,0.009337414987,1
0.2143316716,0.2974775732,-0.02698843926,0.01087873615,1
0.2143316716,0.3033901751,-0.002626750153,0.0006150558474,1
0.2143316716,0.3093027771,0.001418367145,0.0009575893055,1
0.2143316716,0.315215379,0.008488629945,0.001914327615,1
0.2143316716,0.3211279809,0.01518727839,0.005855853669,1
0.2143316716,0.3270405531,0.008298887871,0.007809402421,1
