x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.1686096191,0.3043814003,0.0236407239,-0.01692428626,1
0.1686096191,0.3094333708,0.0261693541,-0.02755106054,1
0.1686096191,0.3144853413,0.0144058736,-0.03914977238,1
0.1686096191,0.3195373416,-0.007228379138,-0.04894498736,1
0.1686096191,0.3245893121,-0.03327534348,-0.04732184857,1
0.1686096191,0.3296412826,-0.04798574373,-0.03905722871,1
0.1686096191,0.334693253,-0.05038416386,-0.02976070344,1
0.1686096191,0.3397452235,-0.04609918594,-0.0216941908,1
0.1686096191,0.344797194,-0.0426934436,-0.01621541567,1
0.1686096191,0.3498491645,-0.03916476667,-0.01287808828,1
0.1686096191,0.354901135,-0.03449229524,-0.01134724729,1
0.1736615896,0.2336537838,0.07076805085,0.01337573864,1
0.1736615896,0.2387057543,0.07120268792,0.005998401437,1
0.1736615896,0.2437577248,0.07471837103,-0.0006356628146,1
0.1736615896,0.2488096952,0.06044707447,-0.008969517425,1
0.1736615896,0.2538616657,0.01306887809,-0.00907833688,1
0.1736615896,0.2589136362,0.003127581906,-0.01121020596,1
0.1736615896,0.2639656067,-0.008143912069,-0.02690833993,1
0.1736615896,0.269017607,-0.01342058368,-0.02616790868,1
0.1736615896,0.2740695775,-0.01140970737,-0.01698870771,1
0.1736615896,0.2791215479,-0.006781530101,-0.01079038344,1
0.1736615896,0.2841735184,-0.0006809541374,-0.005557451863,1
0.1736615896,0.2892254889,0.006461853161,-0.001893526642,1
0.1736615896,0.2942774594,0.01220303867,3.863486563e-05,1
0.1736615896,0.2993294299,0.02024459839,0.0003731974284,1
0.1736615896,0.3043814003,0.02931467257,-0.001081459573,1
0.1736615896,0.3094333708,0.02176914737,-0.006704533938,1
0.1736615896,0.3144853413,0.003057532245,-0.004046984017,1
0.1736615896,0.3195373416,-0.002238817746,-0.00484632235,1
0.1736615896,0.3245893121,-0.02897127718,-0.02156717144,1
0.1736615896,0.3296412826,-0.05926384404,-0.02564871684,1
0.1736615896,0.334693253,-0.06022639945,-0.01957577281,1
0.1736615896,0.3397452235,-0.05258144811,-0.01359346416,1
0.1736615896,0.344797194,-0.04654569551,-0.00959657412,1
0.1736615896,0.3498491645,-0.04139592871,-0.007174524013,1
0.1736615896,0.354901135,-0.03634568304,-0.005759914871,1
0.1787135601,0.2336537838,0.07258281112,0.02351016365,1
0.1787135601,0.2387057543,0.06991835684,0.0212711636,1
0.1787135601,0.2437577248,0.06512762606,0.0177429188,1
0.1787135601,0.2488096952,0.03761585057,0.007356701884,1
0.1787135601,0.2538616657,0.003803550964,-0.0006303928676,1
0.1787135601,0.2589136362,-0.002672077855,-0.001562345657,1
0.1787135601,0.2639656067,-0.01375325117,-0.004259483889,1
0.1787135601,0.269017607,-0.02580362372,-0.006460856646,1
0.1787135601,0.2740695775,-0.01979908906,-0.001165775582,1
0.1787135601,0.2791215479,-0.01270385459,0.003167877672,1
0.1787135601,0.2841735184,-0.005050362088,0.007000969723,1
0.1787135601,0.2892254889,0.003089790931,0.009908957407,1
0.1787135601,0.2942774594,0.01033442561,0.01294203009,1
0.1787135601,0.2993294299,0.01688281633,0.01474902965,1
0.1787135601,0.3043814003,0.02543909475,0.01772657223,1
0.1787135601,0.3094333708,0.01685299724,0.009076952934,1
0.1787135601,0.3144853413,0.003467425704,0.001348612015,1
0.1787135601,0.3195373416,-0.001380006084,0.0009517300641,1
0.1787135601,0.3245893121,-0.02936752513,8.342292131e-05,1
0.1787135601,0.3296412826,-0.06915107369,-0.003346716287,1
0.1787135601,0.334693253,-0.06728502363,-0.003886072896,1
0.1787135601,0.3397452235,-0.05567070842,-0.003006245242,1
0.1787135601,0.344797194,-0.04832564294,-0.002179156058,1
0.1787135601,0.3498491645,-0.04251623899,-0.001154908095,1
0.1787135601,0.354901135,-0.03648348153,0.0001497645135,1
0.1837655455,0.2336537838,0.06725868583,0.03426901996,1
0.1837655455,0.2387057543,0.06316953897,0.03587821871,1
0.1837655455,0.2437577248,0.05882856622,0.03827551007,1
0.1837655455,0.2488096952,0.03543105721,0.03224824369,1
0.1837655455,0.2538616657,0.004551829305,0.01101640332,1
0.1837655455,0.2589136362,-0.002625833731,0.009601769969,1
0.1837655455,0.2639656067,-0.02372951061,0.01480209175,1
0.1837655455,0.269017607,-0.03341701999,0.01721221954,1
0.1837655455,0.2740695775,-0.02467893437,0.01658110693,1
0.1837655455,0.2791215479,-0.01577489264,0.01757773757,1
0.1837655455,0.2841735184,-0.0075279749,0.01938420534,1
0.1837655455,0.2892254889,-0.0006045447662,0.02202384546,1
0.1837655455,0.2942774594,0.005982143804,0.0260985326,1
0.1837655455,0.2993294299,0.01139363553,0.03126326203,1
0.1837655455,0.3043814003,0.01547076739,0.03856320307,1
0.1837655455,0.3094333708,0.01154150162,0.04214981198,1
0.1837655455,0.3144853413,-0.001644821023,0.02256406471,1
0.1837655455,0.3195373416,-0.01016521733,0.01466906257,1
0.1837655455,0.3245893121,-0.05130610615,0.0241214186,1
0.1837655455,0.3296412826,-0.06894156337,0.01914597489,1
0.1837655455,0.334693253,-0.06549432874,0.0121884523,1
0.1837655455,0.3397452235,-0.05463184416,0.008265223354,1
0.1837655455,0.344797194,-0.04802200571,0.006186711136,1
0.1837655455,0.3498491645,-0.04213259742,0.004971382208,1
0.1837655455,0.354901135,-0.03664275631,0.005316570867,1
0.188817516,0.2336537838,0.05763041228,0.04184259847,1
0.188817516,0.2387057543,0.05257225409,0.04661785066,1
0.188817516,0.2437577248,0.04873698205,0.05448810756,1
0.188817516,0.2488096952,0.03402238339,0.05930432677,1
0.188817516,0.2538616657,0.01041783579,0.05585379153,1
0.188817516,0.2589136362,-0.01314454619,0.05709683895,1
0.188817516,0.2639656067,-0.02907980606,0.04822649807,1
0.188817516,0.269017607,-0.03018240631,0.03894300014,1
0.188817516,0.2740695775,-0.02388509735,0.03271781281,1
0.188817516,0.2791215479,-0.01504317485,0.02974036708,1
0.188817516,0.2841735184,-0.008762326092,0.02998802066,1
0.188817516,0.2892254889,-0.003873308189,0.03244986013,1
0.188817516,0.2942774594,0.0004384874774,0.03617229313,1
0.188817516,0.2993294299,0.003646460362,0.04191447049,1
0.188817516,0.3043814003,0.003897732589,0.05045140907,1
0.188817516,0.3094333708,-0.00270773191,0.05828362331,1
0.188817516,0.3144853413,-0.01590912975,0.06277219951,1
0.188817516,0.3195373416,-0.03381716833,0.05473472178,1
0.188817516,0.3245893121,-0.05480363593,0.04630089551,1
0.188817516,0.3296412826,-0.06119982153,0.03374519944,1
0.188817516,0.334693253,-0.05577858537,0.02271907963,1
0.188817516,0.3397452235,-0.05042606965,0.01721186191,1
0.188817516,0.344797194,-0.0455599688,0.01311284769,1
0.188817516,0.3498491645,-0.04071223363,0.01074282452,1
0.188817516,0.354901135,-0.03660678118,0.009888015687,1
0.1938694865,0.2336537838,0.04514769465,0.04459703341,1
0.1938694865,0.2387057543,0.04431729019,0.05127231777,1
0.1938694865,0.2437577248,0.04033517092,0.06039342657,1
0.1938694865,0.2488096952,0.02974031679,0.07039508224,1
0.1938694865,0.2538616657,0.01265723724,0.07621887326,1
0.1938694865,0.2589136362,-0.0070204488,0.07392507046,1
0.1938694865,0.2639656067,-0.01885786653,0.0615458861,1
0.1938694865,0.269017607,-0.0212033093,0.05048211291,1
0.1938694865,0.2740695775,-0.01839357987,0.0439389199,1
0.1938694865,0.2791215479,-0.01333879679,0.04048955813,1
0.1938694865,0.2841735184,-0.009523295797,0.04005286098,1
0.1938694865,0.2892254889,-0.006534587592,0.04168428481,1
0.1938694865,0.2942774594,-0.004095167387,0.04515044391,1
0.1938694865,0.2993294299,-0.003334047738,0.05077286065,1
0.1938694865,0.3043814003,-0.005373748019,0.05817567557,1
0.1938694865,0.3094333708,-0.01205592789,0.06467841566,1
0.1938694865,0.3144853413,-0.02379546314,0.06656383723,1
0.1938694865,0.3195373416,-0.03738550097,0.06156235933,1
0.1938694865,0.3245893121,-0.04752211645,0.05110183358,1
0.1938694865,0.3296412826,-0.05016195774,0.03887834027,1
0.1938694865,0.334693253,-0.04869779199,0.02953510173,1
0.1938694865,0.3397452235,-0.0452420786,0.02364855632,1
0.1938694865,0.344797194,-0.041545555,0.01878049038,1
0.1938694865,0.3498491645,-0.03805687651,0.01584478281,1
0.1938694865,0.354901135,-0.03519203514,0.01399402879,1
0.1989214569,0.2336537838,0.03700686991,0.04453729466,1
0.1989214569,0.2387057543,0.03589781374,0.05151153356,1
0.1989214569,0.2437577248,0.03289941698,0.05913683027,1
0.1989214569,0.2488096952,0.02443202212,0.06675432622,1
0.1989214569,0.2538616657,0.0123817483,0.07165658474,1
0.1989214569,0.2589136362,-0.0003925641649,0.0697081089,1
0.1989214569,0.2639656067,-0.009574136697,0.0629247427,1
0.1989214569,0.269017607,-0.01366156247,0.05606235564,1
0.1989214569,0.2740695775,-0.0134733906,0.05033018813,1
0.1989214569,0.2791215479,-0.01148620062,0.0469960086,1
0.1989214569,0.2841735184,-0.009808819741,0.04612128809,1
0.1989214569,0.2892254889,-0.008514310233,0.04720782489,1
0.1989214569,0.2942774594,-0.007549770176,0.05009747297,1
0.1989214569,0.2993294299,-0.008262528107,0.05457248539,1
0.1989214569,0.3043814003,-0.01122098044,0.05938788876,1
0.1989214569,0.3094333708,-0.01703257114,0.06301105767,1
0.1989214569,0.3144853413,-0.02559704147,0.06295420974,1
0.1989214569,0.3195373416,-0.0342672132,0.0575029254,1
0.1989214569,0.3245893121,-0.03971886262,0.04872003198,1
0.1989214569,0.3296412826,-0.04218193144,0.04021616653,1
0.1989214569,0.334693253,-0.04210425913,0.03299117833,1
0.1989214569,0.3397452235,-0.03998591378,0.02702431008,1
0.1989214569,0.344797194,-0.03744883835,0.0228428524,1
0.1989214569,0.3498491645,-0.03462429345,0.01978470758,1
0.1989214569,0.354901135,-0.03256281465,0.01647219807,1
0.2039734274,0.2336537838,0.0359216705,0.03916911036,1
0.2039734274,0.2387057543,0.03105547652,0.04872810096,1
0.2039734274,0.2437577248,0.0275121741,0.05592330545,1
0.2039734274,0.2488096952,0.02034613676,0.06093553081,1
0.2039734274,0.2538616657,0.01174324006,0.06364461035,1
0.2039734274,0.2589136362,0.003630616004,0.06304005533,1
0.2039734274,0.2639656067,-0.002652928,0.0593993254,1
0.2039734274,0.269017607,-0.006397634279,0.05653876439,1
0.2039734274,0.2740695775,-0.008595966734,0.05336954072,1
0.2039734274,0.2791215479,-0.01006250549,0.05031884834,1
0.2039734274,0.2841735184,-0.009630220011,0.04914248362,1
0.2039734274,0.2892254889,-0.008912951685,0.0491669178,1
0.2039734274,0.2942774594,-0.009612062015,0.05053878576,1
0.2039734274,0.2993294299,-0.01130848471,0.0517931655,1
0.2039734274,0.3043814003,-0.0141490465,0.05253588408,1
0.2039734274,0.3094333708,-0.01834259555,0.05319937691,1
0.2039734274,0.3144853413,-0.02409375645,0.05356743187,1
0.2039734274,0.3195373416,-0.03003052808,0.05149715021,1
0.2039734274,0.3245893121,-0.0340279676,0.04623255134,1
0.2039734274,0.3296412826,-0.03579379991,0.03936518729,1
0.2039734274,0.334693253,-0.03652098775,0.03341852129,1
0.2039734274,0.3397452235,-0.03574350104,0.02905542776,1
0.2039734274,0.344797194,-0.03463890776,0.025750909,1
0.2039734274,0.3498491645,-0.03161002323,0.02234792151,1
0.2039734274,0.354901135,-0.03032100946,0.02031885833,1
0.2090254128,0.2336537838,0.04257111624,0.03040604107,1
0.2090254128,0.2387057543,0.02463621646,0.03995683044,1
0.2090254128,0.2437577248,0.01373047382,0.04584130645,1
0.2090254128,0.2488096952,0.009222155437,0.04702242091,1
0.2090254128,0.2538616657,0.007637911942,0.04589759558,1
0.2090254128,0.2589136362,0.005001481622,0.04368201271,1
0.2090254128,0.2639656067,0.003620724194,0.04345463589,1
0.2090254128,0.269017607,0.0009216782055,0.04401857406,1
0.2090254128,0.2740695775,-0.003615367226,0.04512513056,1
0.2090254128,0.2791215479,-0.007548741531,0.04713623598,1
0.2090254128,0.2841735184,-0.008474988863,0.04593031481,1
0.2090254128,0.2892254889,-0.008489846252,0.04530971497,1
0.2090254128,0.2942774594,-0.01043062937,0.04436768219,1
0.2090254128,0.2993294299,-0.0122764688,0.04033830762,1
0.2090254128,0.3043814003,-0.01403313875,0.03433495387,1
0.2090254128,0.3094333708,-0.01662708633,0.02570994943,1
0.2090254128,0.3144853413,-0.01648037694,0.02840942703,1
0.2090254128,0.3195373416,-0.01648943126,0.03187238052,1
0.2090254128,0.3245893121,-0.02147193253,0.03402651846,1
0.2090254128,0.3296412826,-0.0273820851,0.03418157995,1
0.2090254128,0.334693253,-0.03074562177,0.0324222371,1
0.2090254128,0.3397452235,-0.03108312003,0.0293812789,1
0.2090254128,0.344797194,-0.03044892102,0.02557853982,1
0.2090254128,0.3498491645,-0.02845721506,0.02384894341,1
0.2090254128,0.354901135,-0.02584023587,0.02547403798,1
