PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 134, filenames: MEAN of frames 1:133 & MEAN of frames 1:133, conversion factor xy (px -> m): 0.00031932, conversion factor uv (px/frame -> m/s): 0.0095797
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.1420987248,0.1989382058,0.02585890144,-0.002256237669,1
0.1420987248,0.2040473819,0.02878254652,-0.004136881791,1
0.1420987248,0.209156543,0.029885903,-0.006947612856,1
0.1420987248,0.2142657042,0.02977899276,-0.009346896783,1
0.1420987248,0.2193748802,0.02876113355,-0.01335048676,1
0.1420987248,0.2244840413,0.02519332059,-0.01678570732,1
0.1420987248,0.2295932174,0.01883879304,-0.01855699345,1
0.1420987248,0.2347023785,0.01288570184,-0.02059125341,1
0.1420987248,0.2398115396,0.008273801766,-0.0225482434,1
0.1420987248,0.2449207157,0.003987242468,-0.02184609696,1
0.1420987248,0.2500298917,-0.00383959082,-0.02011365257,1
0.1420987248,0.2551390529,-0.01107593812,-0.01665093377,1
0.1420987248,0.260248214,-0.01432894915,-0.01242223009,1
0.1420987248,0.2653573751,-0.01533005014,-0.007716708817,1
0.1420987248,0.2704665661,-0.01576394588,-0.004182290286,1
0.1420987248,0.2755757272,-0.01507315133,-0.0005542894942,1
0.1420987248,0.2806848884,-0.01416465547,0.004001453985,1
0.1420987248,0.2857940495,-0.01127778739,0.007824419998,1
0.1420987248,0.2909032106,-0.005989327561,0.009565121494,1
0.1420987248,0.2960124016,-0.0002488588798,0.01049734186,1
0.1420987248,0.3011215627,0.004173530731,0.01129640918,1
0.1420987248,0.3062307239,0.007137934212,0.01172000077,1
0.1420987248,0.311339885,0.00787675567,0.01150835212,1
0.1420987248,0.3164490461,0.007048618514,0.01028893795,1
0.1420987248,0.3215582371,0.006466491148,0.008906689472,1
0.1420987248,0.3266673982,0.005693396088,0.007300727069,1
0.1420987248,0.3317765594,0.004143798724,0.006208640058,1
0.1420987248,0.3368857205,0.001986481017,0.005203396548,1
0.1420987248,0.3419948816,-0.003007566324,0.004273587838,1
0.147207886,0.1989382058,0.02706027403,0.001503863372,1
0.147207886,0.2040473819,0.03109575436,-0.002599356463,1
0.147207886,0.209156543,0.03305453807,-0.005589633714,1
0.147207886,0.2142657042,0.03393109143,-0.008950835094,1
0.147207886,0.2193748802,0.03359859437,-0.01304527186,1
0.147207886,0.2244840413,0.0310021136,-0.01702573709,1
0.147207886,0.2295932174,0.02623420954,-0.02163171209,1
0.147207886,0.2347023785,0.01942223497,-0.02774146944,1
0.147207886,0.2398115396,0.01046932954,-0.0318528004,1
0.147207886,0.2449207157,0.0002441848337,-0.03198508918,1
0.147207886,0.2500298917,-0.008863402531,-0.0288832467,1
0.147207886,0.2551390529,-0.0152241895,-0.02319959924,1
0.147207886,0.260248214,-0.01933653839,-0.01650538854,1
0.147207886,0.2653573751,-0.02128599398,-0.01028634515,1
0.147207886,0.2704665661,-0.02106862515,-0.004489829764,1
0.147207886,0.2755757272,-0.01955076121,0.001683844603,1
0.147207886,0.2806848884,-0.01699206233,0.007935162634,1
0.147207886,0.2857940495,-0.0136789754,0.01375863981,1
0.147207886,0.2909032106,-0.008862644434,0.01941157877,1
0.147207886,0.2960124016,-0.002991065383,0.0226505883,1
0.147207886,0.3011215627,0.00250819372,0.0221559871,1
0.147207886,0.3062307239,0.006699635182,0.01905657351,1
0.147207886,0.311339885,0.009130109102,0.01588288136,1
0.147207886,0.3164490461,0.009812833741,0.01246280968,1
0.147207886,0.3215582371,0.008946146816,0.009845847264,1
0.147207886,0.3266673982,0.006917282939,0.007640880533,1
0.147207886,0.3317765594,0.00427812431,0.006427810062,1
0.147207886,0.3368857205,0.001638200949,0.006188615225,1
0.147207886,0.3419948816,-0.002296773018,0.006575763226,1
0.1523170471,0.1989382058,0.02905345708,0.002669973299,1
