PIVlab, ASCII chart output - 06-Mar-2024
FRAME: 152, filenames: MEAN of frames 1:151 & MEAN of frames 1:151, conversion factor xy (px -> m): 0.00015336, conversion factor uv (px/frame -> m/s): 0.0046013
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.0249980595,0.08557617664,NaN,NaN,0
0.0249980595,0.08802997321,NaN,NaN,0
0.0249980595,0.09048376977,NaN,NaN,0
0.0249980595,0.09293757379,NaN,NaN,0
0.0249980595,0.09539137036,NaN,NaN,0
0.0249980595,0.09784516692,NaN,NaN,0
0.0249980595,0.1002989635,NaN,NaN,0
0.0249980595,0.1027527601,NaN,NaN,0
0.0249980595,0.1052065566,NaN,NaN,0
0.0249980595,0.1076603532,NaN,NaN,0
0.0249980595,0.1101141497,NaN,NaN,0
0.0249980595,0.1125679463,NaN,NaN,0
0.0249980595,0.1150217429,NaN,NaN,0
0.0249980595,0.1174755394,NaN,NaN,0
0.0249980595,0.1199293435,NaN,NaN,0
0.0249980595,0.12238314,NaN,NaN,0
0.0249980595,0.1248369366,NaN,NaN,0
0.0249980595,0.1272907257,NaN,NaN,0
0.0249980595,0.1297445297,NaN,NaN,0
0.0249980595,0.1321983188,NaN,NaN,0
0.0249980595,0.1346521229,NaN,NaN,0
0.0249980595,0.1371059269,NaN,NaN,0
0.0249980595,0.139559716,NaN,NaN,0
0.0249980595,0.14201352,NaN,NaN,0
0.0249980595,0.1444673091,NaN,NaN,0
0.0249980595,0.1469211131,NaN,NaN,0
0.0249980595,0.1493749022,NaN,NaN,0
0.0249980595,0.1518287063,NaN,NaN,0
0.0249980595,0.1542824954,NaN,NaN,0
0.0249980595,0.1567362994,NaN,NaN,0
0.0249980595,0.1591900885,NaN,NaN,0
0.0249980595,0.1616438925,NaN,NaN,0
0.0249980595,0.1640976965,NaN,NaN,0
0.0249980595,0.1665514857,NaN,NaN,0
0.0249980595,0.1690052897,NaN,NaN,0
0.0249980595,0.1714590788,NaN,NaN,0
0.0249980595,0.1739128828,NaN,NaN,0
0.02745185606,0.08557617664,NaN,NaN,0
0.02745185606,0.08802997321,NaN,NaN,0
0.02745185606,0.09048376977,NaN,NaN,0
0.02745185606,0.09293757379,NaN,NaN,0
0.02745185606,0.09539137036,NaN,NaN,0
0.02745185606,0.09784516692,NaN,NaN,0
0.02745185606,0.1002989635,NaN,NaN,0
0.02745185606,0.1027527601,NaN,NaN,0
0.02745185606,0.1052065566,NaN,NaN,0
0.02745185606,0.1076603532,NaN,NaN,0
0.02745185606,0.1101141497,NaN,NaN,0
0.02745185606,0.1125679463,NaN,NaN,0
0.02745185606,0.1150217429,NaN,NaN,0
0.02745185606,0.1174755394,NaN,NaN,0
0.02745185606,0.1199293435,NaN,NaN,0
0.02745185606,0.12238314,NaN,NaN,0
0.02745185606,0.1248369366,NaN,NaN,0
0.02745185606,0.1272907257,NaN,NaN,0
0.02745185606,0.1297445297,NaN,NaN,0
0.02745185606,0.1321983188,NaN,NaN,0
0.02745185606,0.1346521229,NaN,NaN,0
0.02745185606,0.1371059269,NaN,NaN,0
0.02745185606,0.139559716,NaN,NaN,0
0.02745185606,0.14201352,NaN,NaN,0
0.02745185606,0.1444673091,NaN,NaN,0
0.02745185606,0.1469211131,NaN,NaN,0
0.02745185606,0.1493749022,NaN,NaN,0
0.02745185606,0.1518287063,NaN,NaN,0
0.02745185606,0.1542824954,NaN,NaN,0
0.02745185606,0.1567362994,NaN,NaN,0
0.02745185606,0.1591900885,NaN,NaN,0
0.02745185606,0.1616438925,NaN,NaN,0
0.02745185606,0.1640976965,NaN,NaN,0
0.02745185606,0.1665514857,NaN,NaN,0
0.02745185606,0.1690052897,NaN,NaN,0
0.02745185606,0.1714590788,NaN,NaN,0
0.02745185606,0.1739128828,NaN,NaN,0
0.02990565449,0.08557617664,NaN,NaN,0
0.02990565449,0.08802997321,NaN,NaN,0
0.02990565449,0.09048376977,NaN,NaN,0
0.02990565449,0.09293757379,NaN,NaN,0
0.02990565449,0.09539137036,NaN,NaN,0
0.02990565449,0.09784516692,NaN,NaN,0
0.02990565449,0.1002989635,NaN,NaN,0
0.02990565449,0.1027527601,NaN,NaN,0
0.02990565449,0.1052065566,NaN,NaN,0
0.02990565449,0.1076603532,NaN,NaN,0
0.02990565449,0.1101141497,NaN,NaN,0
0.02990565449,0.1125679463,NaN,NaN,0
0.02990565449,0.1150217429,-0.005547408015,0.0246498175,1
0.02990565449,0.1174755394,-0.004022652749,0.02534509636,1
